Latitude,Longitude
4122.3273,07205.9779
4122.3274,07205.9781
4122.3276,07205.9785
4122.3274,07205.9785
4122.3271,07205.9784
4122.3269,07205.9784
4122.3268,07205.9784
4122.3267,07205.9784
4122.3268,07205.9784
4122.3268,07205.9785
4122.3269,07205.9786
4122.3269,07205.9785
4122.3269,07205.9784
4122.3268,07205.9783
4122.3269,07205.9782
4122.3269,07205.9782
4122.3271,07205.9782
4122.3272,07205.9782
4122.3273,07205.9781
4122.3275,07205.9781
4122.3276,07205.9780
4122.3277,07205.9780
4122.3279,07205.9782
4122.3281,07205.9782
4122.3281,07205.9782
4122.3282,07205.9782
4122.3283,07205.9782
4122.3284,07205.9782
4122.3285,07205.9783
4122.3285,07205.9783
4122.3286,07205.9783
4122.3286,07205.9783
4122.3286,07205.9783
4122.3286,07205.9784
4122.3286,07205.9783
4122.3286,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3285,07205.9784
4122.3284,07205.9784
4122.3284,07205.9784
4122.3284,07205.9784
4122.3284,07205.9783
4122.3284,07205.9783
4122.3283,07205.9783
4122.3283,07205.9783
4122.3282,07205.9783
4122.3282,07205.9783
4122.3282,07205.9783
4122.3282,07205.9783
4122.3282,07205.9783
4122.3281,07205.9783
4122.3281,07205.9783
4122.3281,07205.9783
4122.3280,07205.9783
4122.3280,07205.9782
4122.3279,07205.9782
4122.3279,07205.9782
4122.3279,07205.9783
4122.3278,07205.9783
4122.3278,07205.9783
4122.3278,07205.9783
4122.3277,07205.9783
4122.3277,07205.9783
4122.3276,07205.9783
4122.3276,07205.9784
4122.3275,07205.9784
4122.3275,07205.9784
4122.3275,07205.9784
4122.3274,07205.9784
4122.3274,07205.9784
4122.3274,07205.9784
4122.3273,07205.9784
4122.3273,07205.9784
4122.3273,07205.9784
4122.3273,07205.9784
4122.3272,07205.9784
4122.3272,07205.9784
4122.3272,07205.9784
4122.3272,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9784
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3271,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
4122.3270,07205.9783
